dataset,pred_len,CSLL,DLinear,LSTM,NLinear,PatchTST,Transformer,iTransformer
ETTh1,96,0.0016354183773976483,0.009043370163878624,0.005579601942458974,0.006446368053801356,0.0003594726427055827,0.007823991950824942,0.004246451074966459
ETTh1,192,0.00025604615498659984,0.0066810583466736665,0.0026451714008617127,0.0008937088386812674,0.002488398318447385,0.01899167270031664,0.004330991781889982
ETTh1,336,0.0018901480552234989,0.0061192059209869126,0.001906115409143774,0.0010636527805384266,0.012930422109005591,0.04317161245506112,0.003097339914417135
ETTh1,720,0.0009689095278840149,0.002430699527233416,0.013706696917050986,0.0007488766983909491,0.018631502072148216,0.017354945863076073,0.005695584636965722
ETTh2,96,0.0024750843281765317,0.013494319201159857,0.006148874854422177,0.0008905908920900082,0.004707003773130632,0.005997663131214548,0.0007454213963687703
ETTh2,192,0.006965700953219199,0.018323314309422464,0.005358256555019952,0.00088557865720356,0.002672265747307928,0.002967791111530139,0.0005455316625719576
ETTh2,336,0.010313078914156355,0.010352908478860301,0.00295673064758617,0.0015389184011942367,0.0020336272690204167,0.012496423185995696,0.001119128890020531
ETTh2,720,0.006081101710266831,0.0033948215626258206,0.005591839484343775,0.0012395571809541452,0.006842881732857921,0.017610611756641813,0.0015903971083213728
ETTm1,96,0.0012983389030720002,0.0026248802985482807,0.00027148172524408154,0.002514297187645415,0.0032449004672212246,0.00498517737596741,0.006486231947918139
ETTm1,192,0.0024046027193342775,0.0020846036950831906,0.0033293745895774203,0.0008722155889805502,6.403536658694374e-05,0.012742191581974264,0.00026926921661461214
ETTm1,336,0.0016310165158975579,0.0013696491189273791,0.001232522671069185,0.0002512924245304941,0.002349321858471478,0.00027929279683847654,0.0018033308203101485
ETTm1,720,0.0005649376292601337,0.0003290995926614565,0.02111681714745152,0.0015598697341003434,0.002279452456361784,0.0002170531721883131,0.0062359053176135595
ETTm2,96,0.0010418720823317591,0.0206004811332665,0.00586404954341511,0.0006578696839306291,0.0010037345073080235,0.0008491222335402541,0.0012648787746681648
ETTm2,192,0.00019137283682378037,0.012023707830162234,0.00011755167457521838,0.0005180235095904145,0.0009958342236445147,0.007380358792912182,0.001360787571949932
ETTm2,336,0.0003972298534602425,0.019362851254429644,0.0006746455887310298,0.0014453407669920658,0.0010413735460768727,0.0008079537085510554,0.001566668766440931
ETTm2,720,0.0003235034264008458,0.0014045618751100345,0.0011782903596852562,0.0004026875223277005,0.004969876451774134,0.007878631557224985,0.004757570210326828
exchange,96,0.0036191215931842637,0.00641342702986521,0.00338143524819467,0.0005690303586778333,0.0013288212240259562,0.0035208380945821282,0.007775645561196194
exchange,192,0.0018627361844901762,0.0003944321158011729,0.009765097553162055,0.0006213660140879839,0.0006907240801117163,0.00990077014884841,0.004889998343367591
exchange,336,0.0014320742537693647,0.002772592976417293,0.012623063076723071,0.001047718085297302,0.011754602703107023,0.015063903256198316,0.007564800831681931
exchange,720,0.01956171206752561,0.003686742168229283,0.01959368096856266,0.003331279286398135,0.019620946080075592,0.05092948797116173,0.007131075080692913
ili,24,0.013021094850943523,0.013983849551636724,0.030449310296347825,0.008055514982538493,0.008257591372942564,0.06373440107350493,0.013614979995407459
ili,36,0.008696224632303733,0.0038843946249327113,0.09473899948271752,0.009584021981757744,0.0031397290543310444,0.03837204968431449,0.009958383062942892
ili,48,0.0043419101097055355,0.003945816021232329,0.0030362266435592067,0.006345501927147839,0.018280781254881414,0.0708493845193891,0.018353902692042904
ili,60,0.005425538072614383,0.0023555776500206707,0.0077149235556238736,0.011392332235535233,0.021986397749027567,0.03400097042617745,0.008532571960082879
weather,96,0.0024373770481599015,0.00031891887218650614,0.002844809720817957,2.4721805588571765e-05,0.001140978411128114,0.001217723068565804,0.0015265113688400084
weather,192,0.0017256009054295598,0.0026602988953832256,0.000740682261597464,0.0013846203397514026,0.0012397823593105017,0.003133518493989066,0.0017412169550353495
weather,336,0.0004775212545320762,0.0024175381672280182,0.0036932876632377195,0.00020926937361999892,0.0020381471011401927,0.007354308948070944,0.0004496779733796838
weather,720,0.00061470693860975,0.004016066565597014,0.0031178131307834267,0.00039277705034504917,2.10894917519342e-05,0.001787189471808421,0.0015011056079920959
