dataset,pred_len,SeasonalNaive,VAR,NLinear,DLinear,LSTM,Transformer,PatchTST,iTransformer,CSLL
ETTh1,96,1.0497744761274288,2.042072057723999,0.9761773900128757,1.0059767800229085,1.0600051238337658,1.0837621523105054,0.9725281115030158,0.9882241155607652,0.9714619966761214
ETTh1,192,1.1415110488410651,2.095341444015503,1.039582840865757,1.0890672598768683,1.1054260272260006,1.214576867450066,1.0534092556616759,1.0568883845820325,1.049803440065893
ETTh1,336,1.2200470169997388,2.120696783065796,1.0952486593868827,1.151044923069685,1.139802936859597,1.276400877036606,1.11423731180834,1.110845819278983,1.104279994617362
ETTh1,720,1.2488450859020825,2.132680654525757,1.1252191111910586,1.2835951022429697,1.1860517983534817,1.4173592129206403,1.2671122541244466,1.1616597145300254,1.154944324124495
ETTh2,96,1.2747896510424426,2.8272526264190674,1.1464560032641076,1.2154584923379261,1.2576298799393886,1.3029370424470106,1.1786076371245144,1.1989125581933155,1.2093272067282859
ETTh2,192,1.4464127687516817,3.5643672943115234,1.3284628884537828,1.4363508063715418,1.4402874472700737,1.4471503382717774,1.3553155205228242,1.3623245366185592,1.369453548768454
ETTh2,336,1.5983305204490361,4.006394386291504,1.4807418630616664,1.6657129738594068,1.5552684206105771,1.6115511570922185,1.4781007250342475,1.4927096302414686,1.5033497700487581
ETTh2,720,1.653219098810638,4.179192066192627,1.581612191985732,1.938372045900412,1.6372176146816393,1.7763232286202164,1.5968383968414643,1.5720072135029846,1.6004149219114872
ETTm1,96,0.9240589108722583,1.7656878232955933,0.8919910888425875,0.9035272334944093,0.9377660399288363,0.9415579570230523,0.8511998800323779,0.8878153601195691,0.8725848162770133
ETTm1,192,0.9747371760628054,1.9369114637374878,0.9371358143494816,0.9482468893932634,0.9961481803185749,1.031453418415679,0.9086947857360872,0.9457311879056148,0.9231036658867791
ETTm1,336,1.0251902733600875,2.0145511627197266,0.9920559247179601,1.007766249774498,1.0461388203923734,1.0495094745633857,0.9677660377997479,1.0166626987575076,0.9770195044508341
ETTm1,720,1.1228504515029745,2.0669310092926025,1.0849969869823646,1.131606744727201,1.1711720469082172,1.16178579582962,1.062561925358032,1.1116938295313372,1.0604432600057543
ETTm2,96,1.0044725585316354,2.0609090328216553,0.8882881805258274,0.9533012517889985,0.9095670244847329,0.9507924603690512,0.8697808416920998,0.9052397605919589,0.8732400866176064
ETTm2,192,1.1226433828896079,2.7377007007598877,1.0195464646800418,1.1065794755735892,1.0154906922353428,1.1183475880010132,1.0211552039795215,1.0477320234776952,1.024497770072486
ETTm2,336,1.2421070275209563,3.2333247661590576,1.1502070851018091,1.3224084758387988,1.1613375702855726,1.2211847171857009,1.1621297131185233,1.1855192189811303,1.1516562763645986
ETTm2,720,1.4256611887319897,3.678178310394287,1.341775796580056,1.5361979364815364,1.3570670031698429,1.4235340307777067,1.3631550353165167,1.387177337956263,1.3659535400465281
electricity,96,1.2137482571170863,,1.062795649778445,1.0969476011652148,,,1.0098072362777115,0.9784819350883245,1.047720575619132
electricity,336,1.319931792075987,,1.177093601293535,1.1949533358309696,,,1.14512793840076,1.1255672184879344,1.167749055874659
exchange,96,8.072460328803597,13.355423927307129,8.551441288369091,9.029029669804455,10.472702557503212,10.786174354186102,9.174122220379038,9.225431664214302,8.670147345373216
exchange,192,11.88511907807043,20.451723098754883,12.549320834835804,12.083077043573825,14.423364657799683,14.469279067025502,13.233483384486695,13.048503228146084,12.713368608672093
exchange,336,16.16931136987423,27.893259048461914,17.48441702619678,18.312618977540158,18.54239397228149,19.44807840641818,17.823571847790035,17.690238464564143,17.271620875351655
exchange,720,26.144272448733403,38.8848876953125,29.43831709853391,34.51348414245328,30.046829317024333,31.257596208950172,28.952909511171743,28.163626752162187,33.343378651993106
ili,24,3.5055937512133015,2.7613236904144287,2.4593592279196024,3.0710561815560724,2.5172718875633238,2.377889396262395,2.077779843628196,2.1078343049637884,2.226567796577162
ili,36,4.125714717881707,3.1360201835632324,2.442071830792338,3.002128856463799,2.5300521518779817,2.3370677363588417,2.131010055008341,2.146133561713042,2.2288493955990862
ili,48,4.225179092843728,3.3009421825408936,2.436225497040151,3.0160699703033322,2.133040227283178,2.387873150493487,2.1478321316146927,2.1341310512068117,2.2410131670807263
ili,60,3.916206554802341,3.3848650455474854,2.485084222952739,3.101022332205707,2.1078167494438227,2.3653343636910873,2.2059774866759665,2.1988879173841593,2.2938066089582896
traffic,96,1.520846469181069,,1.1971071760985499,1.2276351113138229,,,,0.910307409306668,1.1185866859965987
traffic,336,1.4515805475532715,,,1.1568134049453678,,,,0.9541510480156002,1.1315894043095818
weather,96,0.6178763202737743,1.0329355001449585,0.5555829047897296,0.6128069730952459,0.5239203408381152,0.5584165927779372,0.4988804486398723,0.5016665117836703,0.5008546637686694
weather,192,0.6986296198940052,1.1468532085418701,0.6467478372380269,0.7208838537111323,0.6205200452118886,0.6565987501289443,0.5920330878146062,0.6000912124673404,0.6000927518619373
weather,336,0.8037214694960495,1.228811502456665,0.7270729854783788,0.8134839630878271,0.7120429614851623,0.7441856599994386,0.6867417741633208,0.6980749164157023,0.6934049857569491
weather,720,0.9356535066247592,1.3335829973220825,0.840790197035588,0.9501272884692602,0.829015812578495,0.839124082166954,0.8095362626496772,0.8203752404786151,0.8171127161758196
